울ㅲ,쭯놓켹ㅐ,㏓훫쯗ㄴ쾤,짽ㅐ쾧쯗ㄴ쾤,�@쾧쯗ㄴ쾤
Shaun Livingston,4,45.3,0,84
Greg Monroe,4,40,25,77.8
Nene,3.9,100,0,77.8
Wilson Chandler,3.8,31.3,10,100
Markieff Morris,3.8,31.3,28.6,77.8
Jerome Robinson,3.6,35.7,50,100
Iman Shumpert,3.6,38.5,36.4,25
Jonathon Simmons,3.6,33.3,20,75
Gerald Green,3.5,30,34.5,100
Marcus Smart,3.5,9.1,9.1,66.7
Bruce Brown,3.3,35.7,20,100
Jarell Martin,3.3,44.4,28.6,0
Davis Bertans,3.2,33.3,27.3,60
Jared Dudley,3,27.3,22.2,100
Alfonzo McKinnie,3,44.1,31.3,40
Theo Pinson,3,37.5,42.9,0
Jordan Bell,2.7,54.8,0,70
Andrew Bogut,2.7,64.9,0,80
T.J. McConnell,2.7,44.4,0,0
Evan Turner,2.7,32.6,100,80
Donatas Motiejunas,2.6,60,0,50
Chris Boucher,2.5,40,33.3,0
Kyle Korver,2.5,37.5,33.3,66.7
Zaza Pachulia,2.5,33.3,0,50
Brad Wanamaker,2.5,42.9,100,75
D.J. Wilson,2.4,50,20,100
Garrett Temple,2.3,27.3,14.3,70
Raymond Felton,2.2,30.8,25,50
Semi Ojeleye,2.2,44.4,60,100
Aron Baynes,2.1,57.1,33.3,50
Jonas Jerebko,2.1,28.6,26.3,83.3
Isaiah Hartenstein,2,100,0,0
Amir Johnson,2,100,0,0
TJ Leaf,2,0,0,100
Jon Leuer,2,50,0,0
Doug McDermott,2,20,0,50
Dzanan Musa,2,66.7,0,0
Tyrone Wallace,2,25,0,66.7
Guerschon Yabusele,2,50,0,57.1
Tim Frazier,1.9,61.5,50,100
Melvin Frazier Jr.,1.7,40,0,50
Jerian Grant,1.7,20,0,100
Aaron Holiday,1.7,40,50,0
Daniel Theis,1.7,35.7,0,100
Jonah Bolden,1.6,26.3,25,50
Jodie Meeks,1.6,31,15.4,66.7
Treveon Graham,1.4,20,0,50
Thabo Sefolosha,1.3,14.3,12.5,0
Sindarius Thornwell,1.3,33.3,33.3,0
Robert Williams III,1.3,50,0,100
Dante Cunningham,1.2,66.7,100,0
Jeremy Lin,1.1,22.2,50,100
Lonnie Walker IV,1,37.5,0,0
Damian Jones,0.8,100,0,50
Jake Layman,0.8,14.3,0,75
Malcolm Miller,0.8,25,16.7,75
Anfernee Simons,0.8,0,0,80
Deonte Burton,0.7,20,0,0
Jacob Evans,0.7,40,50,0
Skal Labissiere,0.7,25,0,0
Abdel Nader,0.7,50,0,0
Raul Neto,0.7,16.7,0,0
Juancho Hernangomez,0.6,33.3,50,0
Tony Snell,0.6,33.3,50,0
Patrick McCaw,0.5,20,33.3,100
Eric Moreland,0.3,50,0,0
OG Anunoby,0,0,0,0
Mo Bamba,0,0,0,0
Tony Bradley,0,0,0,0
Jose Calderon,0,0,0,0
Troy Caupain,0,0,0,0
Tyler Cavanaugh,0,0,0,0
Chris Chiozza,0,0,0,0
Gary Clark,0,0,0,0
Bonzie Colson,0,0,0,0
Allen Crabbe,0,0,0,0
Angel Delgado,0,0,0,0
Marcus Derrickson,0,0,0,0
Donte DiVincenzo,0,0,0,0
Hamidou Diallo,0,0,0,0
PJ Dozier,0,0,0,0
Trevon Duval,0,0,0,0
Vincent Edwards,0,0,0,0
Drew Eubanks,0,0,0,0
Jawun Evans,0,0,0,0
Dante Exum,0,0,0,0
Michael Frazier,0,0,0,0
Markelle Fultz,0,0,0,0
Pau Gasol,0,0,0,0
Jonathan Gibson,0,0,0,0
Brandon Goodwin,0,0,0,0
Donte Grantham,0,0,0,0
Haywood Highsmith,0,0,0,0
RJ Hunter,0,0,0,0
Amile Jefferson,0,0,0,0
Alize Johnson,0,0,0,0
Damion Lee,0,0,0,0
Jordan Loyd,0,0,0,0
Kalin Lucas,0,0,0,0
Tyler Lydon,0,0,0,0
Trey Lyles,0,0,0,0
Rodney McGruder,0,0,0,0
Chimezie Metu,0,0,0,0
Shake Milton,0,0,0,0
Naz Mitrou-Long,0,0,0,0
Ben Moore,0,0,0,0
Johnathan Motley,0,0,0,0
Timofey Mozgov,0,0,0,0
Dejounte Murray,0,0,0,0
Svi Mykhailiuk,0,0,0,0
Jusuf Nurkic,0,0,0,0
Kyle O'Quinn,0,0,0,0
Victor Oladipo,0,0,0,0
Patrick Patterson,0,0,0,0
Quincy Pondexter,0,0,0,0
Michael Porter Jr.,0,0,0,0
Davon Reed,0,0,0,0
Andre Roberson,0,0,0,0
Zhaire Smith,0,0,0,0
Edmond Sumner,0,0,0,0
Isaiah Thomas,0,0,0,0
Gary Trent Jr.,0,0,0,0
Ekpe Udoh,0,0,0,0
Jarred Vanderbilt,0,0,0,0
Thomas Welsh,0,0,0,0
Isaiah Whitehead,0,0,0,0
Alan Williams,0,0,0,0
